"basonym"	"new_name"
"Lactobacillus jinshani"	"Acetilactobacillus jinshanensis"
"Lactobacillus composti"	"Agrilactobacillus composti"
"Lactobacillus yilanensis"	"Agrilactobacillus yilanensis"
"Lactobacillus amylophilus"	"Amylolactobacillus amylophilus"
"Lactobacillus amylotrophicus"	"Amylolactobacillus amylotrophicus"
"Lactobacillus apinorum"	"Apilactobacillus apinorum"
"Lactobacillus bombintestini"	"Apilactobacillus bombintestini"
"Lactobacillus kunkeei"	"Apilactobacillus kunkeei"
"Lactobacillus micheneri"	"Apilactobacillus micheneri"
"Lactobacillus ozensis"	"Apilactobacillus ozensis"
"Lactobacillus quenuiae"	"Apilactobacillus quenuiae"
"Lactobacillus timberlakei"	"Apilactobacillus timberlakei"
"Lactobacillus bombi"	"Bombilactobacillus bombi"
"Lactobacillus mellifer"	"Bombilactobacillus mellifer"
"Lactobacillus mellis"	"Bombilactobacillus mellis"
"Lactobacillus alimentarius"	"Companilactobacillus alimentarius"
"Lactobacillus allii"	"Companilactobacillus allii"
"Lactobacillus baiquanensis"	"Companilactobacillus baiquanensis"
"Lactobacillus bobalius"	"Companilactobacillus bobalius"
"Lactobacillus crustorum"	"Companilactobacillus crustorum"
"Lactobacillus farciminis"	"Companilactobacillus farciminis"
"Lactobacillus formosensis"	"Companilactobacillus formosensis"
"Lactobacillus furfuricola"	"Companilactobacillus furfuricola"
"Lactobacillus futsaii"	"Companilactobacillus futsaii"
"Lactobacillus ginsenosidimutans"	"Companilactobacillus ginsenosidimutans"
"Lactobacillus halodurans"	"Companilactobacillus halodurans"
"Lactobacillus heilongjiangensis"	"Companilactobacillus heilongjiangensis"
"Lactobacillus huachuanensis"	"Companilactobacillus huachuanensis"
"Lactobacillus hulinensis"	"Companilactobacillus hulinensis"
"Lactobacillus insicii"	"Companilactobacillus insicii"
"Lactobacillus jidongensis"	"Companilactobacillus jidongensis"
"Lactobacillus kedongensis"	"Companilactobacillus kedongensis"
"Lactobacillus keshanensis"	"Companilactobacillus keshanensis"
"Lactobacillus kimchiensis"	"Companilactobacillus kimchiensis"
"Lactobacillus kimchii"	"Companilactobacillus kimchii"
"Lactobacillus metriopterae"	"Companilactobacillus metriopterae"
"Lactobacillus mindensis"	"Companilactobacillus mindensis"
"Lactobacillus mishanensis"	"Companilactobacillus mishanensis"
"Lactobacillus musae"	"Companilactobacillus musae"
"Lactobacillus nantensis"	"Companilactobacillus nantensis"
"Lactobacillus nodensis"	"Companilactobacillus nodensis"
"Lactobacillus nuruki"	"Companilactobacillus nuruki"
"Lactobacillus paralimentarius"	"Companilactobacillus paralimentarius"
"Lactobacillus salsicarnum"	"Companilactobacillus salsicarnum"
"Lactobacillus suantsaicola"	"Companilactobacillus suantsaicola"
"Lactobacillus tucceti"	"Companilactobacillus tucceti"
"Lactobacillus versmoldensis"	"Companilactobacillus versmoldensis"
"Lactobacillus algidus"	"Dellaglioa algida"
"Lactobacillus zhachilii"	"Companilactobacillus zhachilii"
"Lactobacillus zhongbaensis"	"Companilactobacillus zhongbaensis"
"Lactobacillus florum"	"Fructilactobacillus florum"
"Lactobacillus fructivorans"	"Fructilactobacillus fructivorans"
"Lactobacillus ixorae"	"Fructilactobacillus ixorae"
"Lactobacillus lindneri"	"Fructilactobacillus lindneri"
"Lactobacillus sanfranciscensis"	"Fructilactobacillus sanfranciscensis"
"Lactobacillus vespulae"	"Fructilactobacillus vespulae"
"Lactobacillus curtus"	"Furfurilactobacillus curtus"
"Lactobacillus rossiae"	"Furfurilactobacillus rossiae"
"Lactobacillus siliginis"	"Furfurilactobacillus siliginis"
"Lactobacillus floricola"	"Holzapfelia floricola"
"Lactobacillus baoqingensis"	"Lacticaseibacillus baoqingensis"
"Lactobacillus brantae"	"Lacticaseibacillus brantae"
"Lactobacillus camelliae"	"Lacticaseibacillus camelliae"
"Lactobacillus casei"	"Lacticaseibacillus casei"
"Lactobacillus chiayiensis"	"Lacticaseibacillus chiayiensis"
"Lactobacillus daqingensis"	"Lacticaseibacillus daqingensis"
"Lactobacillus hegangensis"	"Lacticaseibacillus hegangensis"
"Lactobacillus hulanensis"	"Lacticaseibacillus hulanensis"
"Lactobacillus jixianensis"	"Lacticaseibacillus jixianensis"
"Lactobacillus manihotivorans"	"Lacticaseibacillus manihotivorans"
"Lactobacillus nasuensis"	"Lacticaseibacillus nasuensis"
"Lactobacillus pantheris"	"Lacticaseibacillus pantheris"
"Lactobacillus paracasei subsp. paracasei"	"Lacticaseibacillus paracasei subsp. paracasei"
"Lactobacillus paracasei subsp. tolerans"	"Lacticaseibacillus paracasei subsp. tolerans"
"Lactobacillus porcinae"	"Lacticaseibacillus porcinae"
"Lactobacillus rhamnosus"	"Lacticaseibacillus rhamnosus"
"Lactobacillus saniviri"	"Lacticaseibacillus saniviri"
"Lactobacillus sharpeae"	"Lacticaseibacillus sharpeae"
"Lactobacillus songhuajiangensis"	"Lacticaseibacillus songhuajiangensis"
"Lactobacillus suibinensis"	"Lacticaseibacillus suibinensis"
"Lactobacillus thailandensis"	"Lacticaseibacillus thailandensis"
